airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,04:25:00,455,1.0,No Info,14189
Indigo,2019-05-21,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Air India,2019-04-01,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No Info,7893
Air India,2019-05-27,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No Info,9719
Air India,2019-05-15,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,No Info,13374
Air Asia,2019-05-21,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Multiple Carriers,2019-06-12,Delhi,Cochin,11:35:00,01:30:00,835,3.0,No Info,15419
Spicejet,2019-05-09,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,4423
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,18:25:00,625,1.0,No Info,16736
Air Asia,2019-05-09,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,5192
Air India,2019-03-06,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No Info,9417
Vistara,2019-06-18,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,20:20:00,740,1.0,No Info,16736
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,17267
Multiple Carriers,2019-05-18,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,10197
Jet Airways,2019-05-21,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4030
Spicejet,2019-05-15,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5583
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,09:00:00,965,1.0,In-flight meal not included,11087
Jet Airways,2019-06-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,7229
Jet Airways,2019-06-06,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,8016
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,No Info,14781
Spicejet,2019-05-21,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Air India,2019-06-06,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,12009
Vistara,2019-04-06,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5613
Indigo,2019-03-15,Banglore,New Delhi,14:25:00,19:25:00,300,1.0,No Info,9165
Indigo,2019-06-24,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6093
Spicejet,2019-06-03,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Indigo,2019-05-01,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Air India,2019-05-09,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13591
Air Asia,2019-04-24,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6152
Multiple Carriers,2019-03-06,Delhi,Cochin,15:15:00,01:35:00,620,1.0,No Info,15147
Jet Airways,2019-06-09,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No Info,13882
Indigo,2019-05-15,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,7228
Jet Airways,2019-05-27,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,12898
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,3859
Spicejet,2019-03-27,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No check-in baggage included,3815
Air India,2019-06-09,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,12534
Jet Airways,2019-05-27,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,No Info,16079
Jet Airways,2019-03-09,Delhi,Cochin,15:05:00,04:25:00,800,1.0,In-flight meal not included,14053
Air India,2019-03-06,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,11522
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Spicejet,2019-03-18,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No check-in baggage included,2385
Air India,2019-06-01,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Air India,2019-06-09,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,12199
Indigo,2019-06-09,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No Info,8452
Air Asia,2019-05-15,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,5162
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,16:10:00,1175,1.0,In-flight meal not included,11087
Spicejet,2019-06-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Indigo,2019-03-09,Delhi,Cochin,07:35:00,12:00:00,265,1.0,No Info,6937
Spicejet,2019-04-15,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-04-21,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Air India,2019-05-09,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,7174
Jet Airways,2019-06-06,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,7229
Indigo,2019-05-21,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Jet Airways,2019-06-03,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,12898
Jet Airways,2019-06-21,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Multiple Carriers,2019-03-21,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,13378
Jet Airways,2019-05-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,12681
Air India,2019-06-12,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,12723
Vistara,2019-03-06,Delhi,Cochin,14:55:00,17:50:00,175,0.0,No Info,8001
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,9187
Vistara,2019-05-27,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Indigo,2019-06-24,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6093
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,13941
Multiple Carriers,2019-06-24,Delhi,Cochin,17:45:00,01:30:00,465,1.0,In-flight meal not included,5797
Multiple Carriers,2019-03-03,Delhi,Cochin,18:00:00,01:35:00,455,1.0,No Info,17703
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No Info,9345
Multiple Carriers,2019-05-15,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13937
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,12681
Multiple Carriers,2019-05-15,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,13727
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,12898
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,8586
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,No Info,13555
Air India,2019-03-09,Banglore,New Delhi,22:00:00,23:20:00,1520,1.0,No Info,8425
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,22:55:00,435,1.0,No Info,12395
Spicejet,2019-05-09,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Indigo,2019-06-01,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No Info,6674
Spicejet,2019-03-09,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,4622
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:30:00,640,1.0,In-flight meal not included,11087
Spicejet,2019-05-15,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4760
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,13044
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,3359
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Air India,2019-06-03,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,8603
Multiple Carriers,2019-06-12,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7005
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:00:00,610,1.0,In-flight meal not included,11087
Jet Airways,2019-06-09,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Indigo,2019-03-06,Delhi,Cochin,07:35:00,22:20:00,885,1.0,No Info,7094
Jet Airways,2019-06-09,Delhi,Cochin,06:45:00,12:35:00,1790,2.0,No Info,13376
Indigo,2019-05-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,7923
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13941
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,8586
Indigo,2019-05-15,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Multiple Carriers,2019-03-03,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No Info,17057
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,18:50:00,1415,2.0,In-flight meal not included,8938
Spicejet,2019-06-24,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,5583
Air Asia,2019-03-09,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No Info,4482
Indigo,2019-06-09,Banglore,Delhi,16:55:00,19:45:00,170,0.0,No Info,4823
Multiple Carriers,2019-05-09,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,10197
Indigo,2019-06-06,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,6093
Spicejet,2019-04-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Air Asia,2019-06-18,Kolkata,Banglore,09:45:00,12:15:00,150,0.0,No Info,3807
Spicejet,2019-06-18,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Air India,2019-04-15,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6121
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,23:35:00,1630,1.0,No Info,14151
Air India,2019-05-21,Delhi,Cochin,13:05:00,09:25:00,1220,2.0,No Info,10467
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,8586
Vistara,2019-03-27,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3739
Jet Airways,2019-03-24,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,In-flight meal not included,2470
Indigo,2019-03-15,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5406
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Air India,2019-06-12,Delhi,Cochin,17:40:00,08:15:00,875,1.0,No Info,8991
Indigo,2019-04-21,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,4423
Spicejet,2019-03-03,Delhi,Cochin,06:10:00,11:20:00,310,1.0,No Info,9748
Indigo,2019-04-18,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4174
Air India,2019-03-09,Banglore,New Delhi,17:00:00,03:40:00,640,1.0,No Info,8767
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,8586
Spicejet,2019-06-15,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,4423
Jet Airways,2019-06-12,Delhi,Cochin,21:25:00,12:35:00,910,2.0,In-flight meal not included,11507
Spicejet,2019-03-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3384
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,13727
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,18:10:00,700,1.0,No Info,13759
Jet Airways,2019-03-27,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,6960
Indigo,2019-06-21,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Spicejet,2019-06-21,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Indigo,2019-04-01,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Indigo,2019-03-09,Delhi,Cochin,17:30:00,01:35:00,485,1.0,No Info,12351
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Air India,2019-05-06,Kolkata,Banglore,19:00:00,09:50:00,890,1.0,No Info,6117
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,14781
Multiple Carriers,2019-06-24,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13587
Spicejet,2019-06-01,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,7317
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,18:10:00,1345,1.0,No Info,13759
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,10407
Air India,2019-06-01,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,13013
Indigo,2019-06-24,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,6628
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,13029
Vistara,2019-06-12,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Goair,2019-03-01,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,No Info,18558
Spicejet,2019-05-18,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,8586
Jet Airways,2019-06-01,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No Info,13376
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No Info,10348
Vistara,2019-04-27,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5403
Air India,2019-06-09,Kolkata,Banglore,09:25:00,05:25:00,1200,2.0,No Info,13007
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,No Info,14151
Air India,2019-03-01,Banglore,New Delhi,08:50:00,09:25:00,1475,2.0,No Info,25430
Multiple Carriers,2019-06-03,Delhi,Cochin,11:30:00,01:30:00,840,1.0,No Info,13377
Air India,2019-06-12,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,6528
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,19:00:00,520,1.0,In-flight meal not included,10791
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,20:25:00,795,1.0,No Info,13152
Multiple Carriers,2019-06-01,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,8937
Indigo,2019-06-12,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No Info,4226
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,18:50:00,800,2.0,No Info,11702
Indigo,2019-05-09,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,8854
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,10539
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,14714
Jet Airways,2019-05-27,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,16289
Air India,2019-03-21,Banglore,New Delhi,08:50:00,23:15:00,865,1.0,No Info,6824
Indigo,2019-05-21,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6818
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Jet Airways,2019-03-15,Banglore,New Delhi,09:45:00,15:55:00,370,1.0,In-flight meal not included,7280
Indigo,2019-04-18,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Multiple Carriers,2019-05-21,Delhi,Cochin,07:05:00,19:15:00,730,1.0,In-flight meal not included,10711
Jet Airways,2019-03-06,Delhi,Cochin,13:55:00,04:25:00,870,1.0,No Info,15764
Air India,2019-06-12,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No Info,9417
Air Asia,2019-04-24,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Indigo,2019-06-09,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Indigo,2019-06-06,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Indigo,2019-03-09,Banglore,New Delhi,10:05:00,13:00:00,175,0.0,No Info,6860
Jet Airways,2019-03-09,Delhi,Cochin,18:15:00,18:50:00,1475,1.0,No Info,16289
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,10262
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,9397
Jet Airways,2019-05-18,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,14502
Jet Airways,2019-06-27,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No Info,13376
Indigo,2019-03-03,Delhi,Cochin,06:40:00,12:00:00,320,1.0,No Info,9304
Spicejet,2019-04-15,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,4423
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,No Info,14714
Multiple Carriers,2019-06-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,7740
Multiple Carriers,2019-06-24,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,8099
Air India,2019-04-21,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6121
Indigo,2019-03-27,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,2754
Jet Airways,2019-04-09,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,04:45:00,890,1.0,No Info,13759
Jet Airways,2019-04-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Multiple Carriers,2019-03-09,Delhi,Cochin,16:00:00,01:35:00,575,1.0,In-flight meal not included,14086
Spicejet,2019-05-15,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No Info,3597
Air India,2019-05-09,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8366
Indigo,2019-04-12,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,4591
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,16704
Air India,2019-05-09,Kolkata,Banglore,14:30:00,08:55:00,1105,2.0,No Info,14214
Indigo,2019-03-21,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No Info,7006
Spicejet,2019-06-01,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3573
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,1465,2.0,No Info,12347
Indigo,2019-05-12,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No Info,3943
Air India,2019-03-12,Banglore,New Delhi,06:50:00,11:20:00,1710,2.0,No Info,12734
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,19:15:00,465,1.0,In-flight meal not included,9254
Air India,2019-03-15,Banglore,New Delhi,05:50:00,23:45:00,1075,2.0,No Info,7664
Jet Airways,2019-05-09,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No Info,9564
Spicejet,2019-06-21,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Air India,2019-03-01,Banglore,New Delhi,17:00:00,22:55:00,1795,2.0,No Info,14887
Goair,2019-06-03,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Spicejet,2019-04-24,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3919
Jet Airways,2019-06-01,Delhi,Cochin,17:30:00,04:25:00,655,1.0,No Info,14714
Air India,2019-05-27,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,7174
Vistara,2019-05-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Jet Airways,2019-05-01,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Multiple Carriers,2019-05-09,Delhi,Cochin,08:00:00,19:15:00,675,1.0,In-flight meal not included,9871
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,23:25:00,1575,1.0,In-flight meal not included,10031
Air India,2019-05-21,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,7480
Jet Airways,2019-05-27,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,16704
Vistara,2019-05-09,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Air Asia,2019-06-03,Delhi,Cochin,20:45:00,06:35:00,590,1.0,No Info,11410
Indigo,2019-03-09,Banglore,New Delhi,07:30:00,12:20:00,290,1.0,No Info,5694
Jet Airways,2019-06-27,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Jet Airways,2019-05-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4995
Spicejet,2019-05-27,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2017
Spicejet,2019-04-12,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,14781
Spicejet,2019-06-09,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-04-06,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,5177
Indigo,2019-06-06,Kolkata,Banglore,15:15:00,20:30:00,315,1.0,No Info,5170
Spicejet,2019-04-15,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-15,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7670
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,In-flight meal not included,10844
Air India,2019-04-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,3100
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,In-flight meal not included,8586
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,13067
